system	repo	sha	dir	modules	level	describable	prose	prose_path	licence	checkable	tlc_seconds	why
Counter with a fairness variant (SF vs. WF), pass/fail grading fixture	hwayne_tlaplus-exercises	93dbe92	passfail/sf_counter	sf_counter_pass;sf_counter_fail	1	no	no		MIT	unattempted	0.0	`VARIABLES counter` (sf_counter_pass.tla:4) is the only state, a bare integer, scalar state, algorithm with invariants over it
Weak-fairness pass/fail fixture	hwayne_tlaplus-exercises	93dbe92	passfail/wf_counter	wf_counter_fail;wf_counter_pass	1	no	no		MIT	unattempted	0.0	`wf_counter_fail.tla:3` `VARIABLES counter`, a single scalar, but see describable
The DAO reentrancy-attack model (buggy vs. fixed withdraw)	muratdem_PlusCal-examples	559f4b1	DAO	dao;dao2	1	yes	no		NONE FOUND	unattempted	0.0	the real state is three scalars, `attack`, `bankBalance`, `malloryBalance` (`dao.tla:6-7`); PlusCal's `stack`/`pc` are translation artifacts, not system state, which is exactly why `auto_level`'s EXCEPT/function heuristic over-promotes this to 5
Wolf, goat and cabbage river-crossing puzzle	muratdem_PlusCal-examples	559f4b1	Puzzles	CabbageGoatWolf_Pluscal	1	yes	no		NONE FOUND	yes	0.5	`CabbageGoatWolf_Pluscal.tla:31-36` `TypeOK` over `banks` (a 2-tuple of sets) and `boat` (a set), scalar/set state, no entity-indexed function; matches the auto_level over-promotion the job warns about (flagged 5 from `procs`/`pluscal` detection, but the actual vars list in the input JSON is corrupted, it repeats `banks`, `s`, `in`, `B`, `SUBSET` from later expressions rather than the true `VARIABLES banks, boat` at `CabbageGoatWolf_Pluscal.tla:66`)
Nested-module test fixture for the IOUtils test suite	tlaplus_CommunityModules	a8068a4	tests/nested	Counter	1	no	no		MIT	yes	0.5	`VARIABLE x` (line 8) is a bare incrementing integer; the module's real purpose is announced by `ASSUME LET T == INSTANCE TLC IN T!PrintT("IOUtilsTests!C!b!Counter")` (line 4)
`TLCExt!Trace` incomplete-states test fixture	tlaplus_CommunityModules	a8068a4	tests	IncompleteStates	1	no	no		MIT	no	0.4	three independent scalars `u, v, w` (`IncompleteStates.tla:4`), `Init` just assigns literals and calls `Trace` (`:6-9`)
Asynchronous send/receive (value/ready/ack) handshake interface	tlaplus_Examples	ceeaa90	specifications/SpecifyingSystems/AsynchronousInterface	AsynchInterface;Channel	1	yes	yes	specifications/SpecifyingSystems/AsynchronousInterface/README	MIT	yes	0.6	`AsynchInterface.tla:3` declares three independent scalars (`val, rdy, ack`); `Channel.tla:4` re-encodes the identical interface as one record `chan` (`Channel.tla:6` `TypeInvariant == chan \in [val: Data, rdy: {0,1}, ack: {0,1}]`), a single object's state, not a function indexed over multiple entities, so it stays scalar-shaped rather than becoming tier 2
Binary search over a sorted sequence	tlaplus_Examples	ceeaa90	specifications/LoopInvariance	BinarySearch;MCBinarySearch	1	yes	yes	specifications/LoopInvariance/README.txt	MIT	unattempted	0.0	`BinarySearch.tla:113` `TypeOK == /\ seq \in SortedSeqs` plus scalar `val, low, high, result`, scalar/sequence state, no entity-indexed function
Boyer-Moore majority-vote algorithm	tlaplus_Examples	ceeaa90	specifications/Majority	Majority	1	yes	yes	specifications/Majority/README.md	MIT	unattempted	0.0	all four variables are scalars (`i`, `cand`, `cnt`) or an unchanging input sequence (`seq`), no function-valued state, `Majority.tla:23` (VARIABLES)
Cat-hiding-in-boxes search puzzle	tlaplus_Examples	ceeaa90	specifications/Moving_Cat_Puzzle	Cat	1	yes	yes		MIT	unattempted	0.0	three scalar `VARIABLES cat_box, observed_box, direction` (`Cat.tla` VARIABLES block)
